"EventId","StartTime","EndTime","EventType","Source","State"
"51627","2007-07-25T06:45:00Z","2007-07-25T06:45:00Z","Waterspout","Mariner","ATLANTIC SOUTH"
"42239","2007-07-25T17:31:00Z","2007-07-25T17:46:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"50380","2007-07-27T09:00:00Z","2007-07-27T09:20:00Z","Waterspout","ASOS","ATLANTIC SOUTH"
"50379","2007-07-27T09:05:00Z","2007-07-27T09:20:00Z","Waterspout","Public","ATLANTIC SOUTH"
"51625","2007-07-28T13:45:00Z","2007-07-28T13:45:00Z","Waterspout","Public","ATLANTIC SOUTH"
"47948","2007-07-29T11:28:00Z","2007-07-29T11:29:00Z","Waterspout","Law Enforcement","ATLANTIC SOUTH"
"42242","2007-07-30T10:50:00Z","2007-07-30T10:50:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"55166","2007-08-12T11:00:00Z","2007-08-12T11:05:00Z","Waterspout","Law Enforcement","ATLANTIC SOUTH"
"55187","2007-08-13T09:15:00Z","2007-08-13T09:20:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"54044","2007-08-13T22:48:00Z","2007-08-14T00:00:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"54045","2007-08-14T10:58:00Z","2007-08-14T11:13:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"56548","2007-08-15T09:00:00Z","2007-08-15T09:50:00Z","Waterspout","Law Enforcement","ATLANTIC SOUTH"
"54050","2007-08-15T14:00:00Z","2007-08-15T14:15:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"54123","2007-08-26T13:48:00Z","2007-08-26T14:03:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"54121","2007-08-29T16:29:00Z","2007-08-29T16:44:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"55098","2007-09-05T14:39:00Z","2007-09-05T14:54:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"52628","2007-09-06T09:55:00Z","2007-09-06T09:55:00Z","Waterspout","Mariner","ATLANTIC SOUTH"
"55099","2007-09-06T10:57:00Z","2007-09-06T11:12:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"55100","2007-09-07T17:40:00Z","2007-09-07T17:55:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"60536","2007-09-08T13:40:00Z","2007-09-08T13:45:00Z","Waterspout","Other Federal","ATLANTIC SOUTH"
"60537","2007-09-08T17:50:00Z","2007-09-08T17:55:00Z","Waterspout","Public","ATLANTIC SOUTH"
"60538","2007-09-09T12:20:00Z","2007-09-09T12:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"60539","2007-09-09T13:50:00Z","2007-09-09T14:00:00Z","Waterspout","COOP Observer","ATLANTIC SOUTH"
"60302","2007-09-10T15:32:00Z","2007-09-11T15:47:00Z","Waterspout","NWS Employee","ATLANTIC SOUTH"
"60311","2007-09-10T17:20:00Z","2007-09-10T17:35:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"60540","2007-09-12T07:12:00Z","2007-09-12T07:20:00Z","Waterspout","Other Federal","ATLANTIC SOUTH"
"60541","2007-09-14T06:13:00Z","2007-09-14T06:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"52633","2007-09-16T12:20:00Z","2007-09-16T12:20:00Z","Waterspout","Park/Forest Service","ATLANTIC SOUTH"
"51911","2007-09-16T12:20:00Z","2007-09-16T12:25:00Z","Waterspout","Park/Forest Service","ATLANTIC SOUTH"
"60544","2007-09-17T17:35:00Z","2007-09-17T17:45:00Z","Waterspout","COOP Observer","ATLANTIC SOUTH"
"60552","2007-09-25T13:30:00Z","2007-09-25T13:40:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"61032","2007-09-29T08:11:00Z","2007-09-29T08:11:00Z","Waterspout","Trained Spotter","ATLANTIC SOUTH"
